modelo,representacao,protocolo_features,subset_features,variante,features_usadas,n_features,thr,f1,precision,recall,false_alarm_rate,accuracy,balanced_accuracy,mcc,avg_precision,objective_score,tp,fp,fn,tn
ANN (MLP),composite,legacy,legacy_mv,mlp,"js, fro, d_js, d_fro, rare",5,0.5,0.8476941747572817,0.8516561674456411,0.8437688745721764,0.009348906306029404,0.9818665639185561,0.9172099841330735,0.8380640285557103,0.9071557670877035,1.0737245535834399,4191.0,730.0,776.0,77354.0
ANN (MLP),len,legacy,legacy_mv,mlp,"js, fro, d_js, d_fro, rare",5,0.5,0.843250752489002,0.9921002451648052,0.7332393799073887,0.00037139490804774343,0.9836967646385956,0.8664339924996705,0.8454854087284936,0.782240334235387,1.059729262396103,3642.0,29.0,1325.0,78055.0
KAN (pykan),len,legacy,legacy_mv,"width=[5,8,2],grid=3,k=3,steps=25","js, fro, d_js, d_fro, rare",5,0.5,0.8369324150811254,0.9958333333333333,0.7217636400241595,0.00019210081450745352,0.9831790104875318,0.860785769604826,0.8402462196406528,0.7942677844141436,1.0520616221972543,3585.0,15.0,1382.0,78069.0
Random Forest,composite,legacy,legacy_mv,rf,"js, fro, d_js, d_fro, rare",5,0.5,0.8275233076611268,0.8330952866761885,0.822025367425005,0.010475897751139798,0.979506568253242,0.9057747348369326,0.8166505562973924,0.9048593535655081,1.050300427157461,4083.0,818.0,884.0,77266.0
ANN (MLP),len,legacy,legacy_univar_fro,mlp,fro,1,0.5,0.8281876031110063,0.9985791418016482,0.7074692973625931,6.403360483581784e-05,0.9824445220406738,0.8537026318788786,0.8327522371919753,0.7685354656548539,1.0415908493190333,3514.0,5.0,1453.0,78079.0
KAN (pykan),len,legacy,legacy_univar_fro,"width=[1,8,2],grid=3,k=3,steps=25",fro,1,0.5,0.8260458520444339,1.0,0.70364405073485,0.0,0.9822759509217228,0.851822025367425,0.8310383523301692,0.7680921293540243,1.0390013583862903,3495.0,0.0,1472.0,78084.0
ANN (MLP),composite,legacy,legacy_univar_fro,mlp,fro,1,0.5,0.8188302425106991,0.9997097242380262,0.693376283470908,1.2806720967163568e-05,0.9816498296227619,0.8466817383749704,0.8245586526440803,0.7754118752667466,1.0304961947521032,3444.0,1.0,1523.0,78083.0
KAN (pykan),composite,legacy,legacy_univar_fro,"width=[1,8,2],grid=3,k=3,steps=25",fro,1,0.5,0.8172401476366234,1.0,0.6909603382323334,0.0,0.9815173808864432,0.8454801691161666,0.8231883711024836,0.7631875602590826,1.028610189915665,3432.0,0.0,1535.0,78084.0
KAN (pykan),composite,legacy,legacy_univar_js,"width=[1,8,2],grid=3,k=3,steps=25",js,1,0.5,0.7952892275718739,0.932322685435842,0.693376283470908,0.0032016802417908917,0.9786516718642762,0.8450873016145586,0.7938638286840196,0.7934927850341758,1.0054404648908868,3444.0,250.0,1523.0,77834.0
KAN (pykan),composite,legacy,legacy_mv,"width=[5,8,2],grid=3,k=3,steps=25","js, fro, d_js, d_fro, rare",5,0.5,0.7922845356227004,0.8878060969515242,0.7153211193879605,0.0057502177142564415,0.9775680003853054,0.854785450836852,0.7856645749743617,0.793305691822359,1.0039683221319238,3553.0,449.0,1414.0,77635.0
